Asset,Class,Date,Type,Entry,Stop Loss,Target,Result,PnL %
SI=F,TradFi,2025-12-31 20:00:00+00:00,CLS_LONG,70.40499877929688,69.25499725341797,79.69999694824219,OPEN,0.82
GC=F,TradFi,2025-12-31 15:00:00+00:00,CLS_SHORT,4350.89990234375,4367.7998046875,4182.2001953125,OPEN,0.43
GC=F,TradFi,2025-12-31 04:00:00+00:00,CLS_SHORT,4344.60009765625,4397.7998046875,4182.2001953125,OPEN,0.29
GC=F,TradFi,2025-12-30 20:00:00+00:00,CLS_SHORT,4357.5,4420.5,4182.2001953125,OPEN,0.58
GC=F,TradFi,2025-12-30 00:00:00+00:00,CLS_SHORT,4354.7001953125,4488.7001953125,4182.2001953125,OPEN,0.52
GC=F,TradFi,2025-12-29 17:00:00+00:00,CLS_SHORT,4346.2001953125,4530.7998046875,4182.2001953125,OPEN,0.32
GC=F,TradFi,2025-12-29 15:00:00+00:00,CLS_SHORT,4343.10009765625,4542.5,4182.2001953125,OPEN,0.25
GC=F,TradFi,2025-12-19 00:00:00+00:00,CLS_SHORT,4356.10009765625,4409.5,4182.2001953125,HIT SL,-1.23
GC=F,TradFi,2025-12-18 19:00:00+00:00,CLS_SHORT,4357.2001953125,4409.5,4182.2001953125,HIT SL,-1.2
GC=F,TradFi,2025-12-18 08:00:00+00:00,CLS_SHORT,4357.39990234375,4379.39990234375,4182.2001953125,HIT SL,-0.5
GC=F,TradFi,2025-12-17 07:00:00+00:00,CLS_SHORT,4348.10009765625,4373.60009765625,4182.2001953125,HIT SL,-0.59
^NDX,TradFi,2025-12-15 16:30:00+00:00,CLS_SHORT,25128.748046875,25696.291015625,24207.150390625,HIT TP1 -> BE,0.85
^NDX,TradFi,2025-12-15 14:30:00+00:00,CLS_SHORT,25050.791015625,25696.291015625,24207.150390625,HIT TP1 -> BE,0.7
GC=F,TradFi,2025-12-15 14:00:00+00:00,CLS_SHORT,4355.39990234375,4384.2998046875,4182.2001953125,HIT SL,-0.66
GC=F,TradFi,2025-12-12 15:00:00+00:00,CLS_SHORT,4320.10009765625,4387.7998046875,4182.2001953125,HIT SL,-1.57
GC=F,TradFi,2025-11-27 04:00:00+00:00,CLS_LONG,4182.7001953125,4140.0,4358.0,HIT TP1 -> BE,1.04
SI=F,TradFi,2025-11-27 02:00:00+00:00,CLS_SHORT,53.29999923706055,53.90499877929688,49.64500045776367,HIT SL,-1.14
GC=F,TradFi,2025-11-26 15:00:00+00:00,CLS_LONG,4200.2998046875,4132.89990234375,4358.0,HIT TP1 -> BE,0.83
GC=F,TradFi,2025-11-26 01:00:00+00:00,CLS_LONG,4183.0,4106.7998046875,4358.0,HIT TP1 -> BE,1.04
SI=F,TradFi,2025-11-24 08:00:00+00:00,CLS_LONG,49.75,49.369998931884766,53.34000015258789,HIT TP2 (Full),5.36
SI=F,TradFi,2025-11-24 03:00:00+00:00,CLS_LONG,49.65999984741211,49.02000045776367,53.34000015258789,HIT TP2 (Full),5.55
^NDX,TradFi,2025-11-21 18:30:00+00:00,CLS_LONG,24509.265625,23857.3984375,25195.279296875,HIT TP2 (Full),1.79
^NDX,TradFi,2025-11-21 16:30:00+00:00,CLS_LONG,24280.951171875,23857.3984375,25195.279296875,HIT TP2 (Full),2.75
SI=F,TradFi,2025-11-21 16:00:00+00:00,CLS_LONG,50.34000015258789,48.04999923706055,53.34000015258789,HIT TP1 -> BE,1.14
SI=F,TradFi,2025-11-18 08:00:00+00:00,CLS_LONG,50.130001068115234,49.1150016784668,53.34000015258789,HIT TP1 -> BE,1.36
SI=F,TradFi,2025-11-17 20:00:00+00:00,CLS_LONG,49.98500061035156,49.345001220703125,53.34000015258789,HIT SL,-1.28
GC=F,TradFi,2025-11-14 07:00:00+00:00,CLS_LONG,4184.39990234375,4149.5,4358.0,HIT SL,-0.83
GC=F,TradFi,2025-11-13 23:00:00+00:00,CLS_LONG,4188.89990234375,4148.5,4358.0,HIT SL,-0.96
^NDX,TradFi,2025-11-13 15:30:00+00:00,CLS_SHORT,25126.91796875,25656.162109375,24207.150390625,HIT TP1 -> BE,0.85
SI=F,TradFi,2025-11-13 14:00:00+00:00,CLS_SHORT,52.95000076293945,54.415000915527344,49.64500045776367,HIT TP2 (Full),4.5
SI=F,TradFi,2025-11-12 20:00:00+00:00,CLS_SHORT,53.26499938964844,53.625,49.64500045776367,HIT SL,-0.68
GC=F,TradFi,2025-11-12 15:00:00+00:00,CLS_LONG,4187.89990234375,4104.39990234375,4358.0,HIT SL,-1.99
SI=F,TradFi,2025-11-10 07:00:00+00:00,CLS_LONG,49.65499877929688,48.06999969482422,53.34000015258789,HIT TP2 (Full),5.56
^NDX,TradFi,2025-11-06 20:30:00+00:00,CLS_SHORT,25132.681640625,25750.669921875,24207.150390625,HIT TP1 -> BE,0.86
^NDX,TradFi,2025-11-06 16:30:00+00:00,CLS_SHORT,25126.642578125,25750.669921875,24207.150390625,HIT TP1 -> BE,0.85
GC=F,TradFi,2025-10-21 07:00:00+00:00,CLS_SHORT,4312.7998046875,4398.0,4182.2001953125,HIT TP2 (Full),2.01
GC=F,TradFi,2025-10-21 05:00:00+00:00,CLS_SHORT,4339.5,4398.0,4182.2001953125,HIT TP2 (Full),2.61
GC=F,TradFi,2025-10-21 02:00:00+00:00,CLS_SHORT,4354.89990234375,4398.0,4182.2001953125,HIT TP2 (Full),2.96
